name,id,primaryCuisineId,address,chainCode,chainName,chainMainCode,cuisines,heroImage,heroListingImage,latitude,longitude,minimumDeliveryTime,minimumDeliveryTimeUpperLimit,minimumDeliveryTimeLowerLimit,minimumOrderAmount,minimumPickupTime,postCode,rating,urlKey,reviewNumber,vendorPoints,webPath,legalName,tradeRegisterNumber,customerPhone,vertical,deliveryProvider,isActive,is_best_in_city,is_new,is_delivery_enabled,is_pickup_enabled,is_service_fee_enabled,is_test,is_promoted
SAQI Drinks,87583,110,"A/132, PBCHS, opposite Gawaliour CHS, Scheme-33, Karachi",,,,"Ice Cream, Shakes, Beverages, Healthy Food, Desserts",https://images.deliveryhero.io/image/fd-pk/LH/zfa8-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/zfa8-listing.jpg,24.9670102,67.1212884,0,,,0,15,7520,4,saqi-drinks,51,0,https://foodpanda.pk/restaurant/zfa8/saqi-drinks,Zulfiqar Ali,+923034722234,+923034722234,restaurants,dine_in,true,false,false,true,true,false,false,false
FryDom,93628,86,"Shop No. 16 & 17, 4 Karimabad Mkt Rd, FB Area Block 3 Karimabad Block 3 Gulberg Town, Karachi, Karachi City, Sindh",,,,"Beverages, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/flgo-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/flgo-listing.jpg,24.92100678,67.05706696,0,,,0,15,75400,0,frydom,0,7012,https://foodpanda.pk/restaurant/flgo/frydom,ADNAN GUL,+923152087873,+923152087873,restaurants,platform_delivery,true,false,false,true,true,false,false,false
Biryani Nagar - Tipu Sultan,91850,139,Habitt City Tipu Sultan Road Off Share-e-Faisal Karachi,,,,"Beverages, Pulao, Pakistani, Desserts",https://images.deliveryhero.io/image/fd-pk/LH/flfq-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/flfq-listing.jpg,24.86582786,67.07696681,17020,180,160,0,10,75350,3.7,biryani-nagar-tipu-sultan,23,10941,https://foodpanda.pk/restaurant/flfq/biryani-nagar-tipu-sultan,Universal Retails Private Limited,+923370386972,+923370386972,restaurants,dine_in,true,false,false,true,true,false,false,false
Hassan Zai Koyla Karahi Sajji & Bar B Que,10425,139,"Shop # 17, 18, Raheemabad Colony, Main Naseerabad, Near PTCL Exchange, FB Area, Karachi.",cl8sc,Hassan Zai Koyla Karahi Sajji & Bar B Que,i2oy,"Wraps & Rolls, BBQ, Paratha, Pakistani, Karahi & Handi",https://images.deliveryhero.io/image/fd-pk/LH/t9yk-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/t9yk-listing.jpg,24.9320427,67.0702237,0,,,0,20,75300,4.2,hassan-zai-koyla-karahi-sajji-and-bar-b-que,3332,14951,https://foodpanda.pk/restaurant/t9yk/hassan-zai-koyla-karahi-sajji-and-bar-b-que,Yasir Shahjahan,,+923248294958,restaurants,dine_in,true,false,false,true,true,false,false,false
Del Frio - Lucky one,26317,79,"LA-2/B, Block 21, Opp. UBL Sports Complex، Main Rashid Minhas Rd, Federal B Area Block 21 Gulberg Town, Karachi",,,,"Cakes & Bakery, Ice Cream, Shakes, Beverages, Continental, Steak, Desserts, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/n8hu-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/n8hu-listing.jpg,24.93189785,67.0867928,0,,,0,12,75950,4.1,del-frio-lucky-one,91,9535,https://foodpanda.pk/restaurant/n8hu/del-frio-lucky-one,OHS FOODS,+9221111454647,+923158559270,"restaurants, street_food",dine_in,true,false,false,true,true,false,false,false
Bread n crust,90745,103,"Plot No-4c, street No-2, D.H.A Phase 6 Shahbaz Commercial Area Phase 6 Defence Housing Authority, Karachi, Karachi City, Sindh 74500, Pakistan",,,,"Beverages, Pasta, Pizza, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/bpzr-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/bpzr-listing.jpg,24.8079979,67.0616788,0,,,0,15,75500,4.1,bread-n-crust,50,9958,https://foodpanda.pk/restaurant/bpzr/bread-n-crust,ADIL MEHMOOD,+923322009602,+923322009602,restaurants,dine_in,true,false,false,true,true,false,false,false
Momos Junction by Mahnoor,89015,139,"B-15 Shahfaisalcolony no 3 , pathak road .",,,,"Beverages, Biryani, Western, Ice Cream, Healthy Food, Middle Eastern, Pakistani, Sandwiches, Japanese, Vegetarian, Pizza, Chinese, Thai, Cakes & Bakery, Continental, Tea & Coffee, Broast, Wraps & Rolls, Steak, BBQ, Shawarma, Savouries, Pulao, Seafood, Desserts, Burgers, Fast Food, American",https://images.deliveryhero.io/image/fd-pk/LH/g3sn-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/g3sn-listing.jpg,24.8851521,67.1518029,0,,,0,15,75320,3.4,momos-junction-by-mahnoor,303,21598,https://foodpanda.pk/restaurant/g3sn/momos-junction-by-mahnoor,MAHNOOR  SHAKEEL,+923243181279,+923243181279,"beverages, bakery, party_supplies, drinks, restaurants, convenience, snacks_and_sweets, street_food, bakery_and_dessert, home_based_kitchen",platform_delivery,true,false,false,true,true,false,false,false
Pizza Y Not,22514,73,United centre shop no 3 block L North nazimabad karachi,,,,Pizza,https://images.deliveryhero.io/image/fd-pk/LH/n8hy-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/n8hy-listing.jpg,24.9400949,67.0520136,0,,,0,12,75950,2.1,pizza-y-not,13,6841,https://foodpanda.pk/restaurant/n8hy/pizza-y-not,MUHAMMAD IMRAN,+923118714263,+923118714263,restaurants,dine_in,true,false,false,true,true,false,false,false
Bhai Jaan Hotel,77504,139,"Shop No. 4, Allama Shabbir Ahmed Usmani Rd, Block 4 Gulshan-e-Iqbal, Karachi",,,,"Beverages, Paratha, Pakistani, Tea & Coffee",https://images.deliveryhero.io/image/fd-pk/LH/b5ev-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/b5ev-listing.jpg,24.93148145,67.09957165,0,,,0,15,75300,3.9,bhai-jaan-hotel,286,11054,https://foodpanda.pk/restaurant/b5ev/bhai-jaan-hotel,Abdullah S/O Hazrat Ali,+923003227813,+923003227813,restaurants,dine_in,true,false,false,true,true,false,false,false
Khausa Memoni Curry Khausa,70964,74,dhoraji,,,,Chinese,https://images.deliveryhero.io/image/fd-pk/LH/xpyu-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/xpyu-listing.jpg,24.88782495,67.07776515,0,,,0,15,75500,4,khausa-memoni-curry-khausa,66,7940,https://foodpanda.pk/restaurant/xpyu/khausa-memoni-curry-khausa,DANISH,+923152068016,+923152068016,restaurants,dine_in,true,false,false,true,true,false,false,false
